Index,UniProt accession,UniProt name,Status,Protein name,Gene symbol,Species,Identification number
8962,A8K5A4,A8K5A4_HUMAN,unreviewed,"cDNA FLJ76826, highly similar to Homo sapiens ceruloplasmin (ferroxidase) (CP), mRNA",0,"Homo sapiens (Human)",5
8581,A8K7H3,A8K7H3_HUMAN,unreviewed,"cDNA FLJ77670, highly similar to Homo sapiens ribosomal protein S15a (RPS15A), mRNA",0,"Homo sapiens (Human)",5
8582,A8KAJ3,A8KAJ3_HUMAN,unreviewed,"cDNA FLJ77823, highly similar to Homo sapiens EGF-containing fibulin-like extracellular matrix protein 1, transcript variant 3, mRNA",0,"Homo sapiens (Human)",5
8580,A8K3W9,A8K3W9_HUMAN,unreviewed,"cDNA FLJ77842",0,"Homo sapiens (Human)",5
8465,A8K3B0,A8K3B0_HUMAN,unreviewed,"cDNA FLJ77877, highly similar to Human ENO2 neuron specific (gamma) enolase",0,"Homo sapiens (Human)",5
8684,A8K2T4,A8K2T4_HUMAN,unreviewed,"cDNA FLJ78207, highly similar to Human complement protein component C7 mRNA",0,"Homo sapiens (Human)",5
8569,A8K7F6,A8K7F6_HUMAN,unreviewed,"cDNA FLJ78244, highly similar to Homo sapiens eukaryotic translation initiation factor 4A, isoform 1 (EIF4A1), mRNA",0,"Homo sapiens (Human)",5
8578,A8K088,A8K088_HUMAN,unreviewed,"cDNA FLJ78614, highly similar to Homo sapiens eukaryotic translation initiation factor 4A, isoform 1 (EIF4A1), mRNA",0,"Homo sapiens (Human)",5
8583,B2R4C1,B2R4C1_HUMAN,unreviewed,"cDNA, FLJ92036, highly similar to Homo sapiens ribosomal protein L31 (RPL31), mRNA",0,"Homo sapiens (Human)",5
8521,B2R5M9,B2R5M9_HUMAN,unreviewed,"cDNA, FLJ92537, highly similar to Homo sapiens procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase, Ehlers-Danlos syndrome type VI) (PLOD), mRNA",0,"Homo sapiens (Human)",5
8570,B2R659,B2R659_HUMAN,unreviewed,"cDNA, FLJ92803, highly similar to Homo sapiens hydroxysteroid (17-beta) dehydrogenase 4 (HSD17B4), mRNA",0,"Homo sapiens (Human)",5
8585,B2R6D0,B2R6D0_HUMAN,unreviewed,"cDNA, FLJ92896, highly similar to Homo sapiens proteasome (prosome, macropain) 26S subunit, non-ATPase, 1 (PSMD1), mRNA",0,"Homo sapiens (Human)",5
8744,B2R8I2,B2R8I2_HUMAN,unreviewed,"cDNA, FLJ93914, highly similar to Homo sapiens histidine-rich glycoprotein (HRG), mRNA",0,"Homo sapiens (Human)",5
8522,B2R9T9,B2R9T9_HUMAN,unreviewed,"cDNA, FLJ94551",0,"Homo sapiens (Human)",5
8466,B2RA72,B2RA72_HUMAN,unreviewed,"cDNA, FLJ94734, Homo sapiens CHMP1.5 protein (CHMP1.5), mRNA",0,"Homo sapiens (Human)",5
8678,B2RE46,B2RE46_HUMAN,unreviewed,"cDNA, FLJ96923, highly similar to Homo sapiens ribophorin II (RPN2), mRNA",0,"Homo sapiens (Human)",5
8939,Q8N3J6,CADM2_HUMAN,reviewed,"Cell adhesion molecule 2 (Immunoglobulin superfamily member 4D) (IgSF4D) (Nectin-like protein 3) (NECL-3) (Synaptic cell adhesion molecule 2) (SynCAM 2)","CADM2 IGSF4D NECL3","Homo sapiens (Human)",5
9062,O75419,CDC45_HUMAN,reviewed,"Cell division control protein 45 homolog (PORC-PI-1)","CDC45 CDC45L CDC45L2 UNQ374/PRO710","Homo sapiens (Human)",5
9121,Q99674,CGRE1_HUMAN,reviewed,"Cell growth regulator with EF hand domain protein 1 (Cell growth regulatory gene 11 protein) (Hydrophobestin)","CGREF1 CGR11","Homo sapiens (Human)",5
9260,Q9C0F1,CEP44_HUMAN,reviewed,"Centrosomal protein of 44 kDa (Cep44) (HBV PreS1-transactivated protein 3) (PS1TP3)","CEP44 KIAA1712","Homo sapiens (Human)",5
8844,Q8IW35,CEP97_HUMAN,reviewed,"Centrosomal protein of 97 kDa (Cep97) (Leucine-rich repeat and IQ domain-containing protein 2)","CEP97 LRRIQ2","Homo sapiens (Human)",5
8703,Q1MSJ5,CSPP1_HUMAN,reviewed,"Centrosome and spindle pole-associated protein 1","CSPP1 CSPP","Homo sapiens (Human)",5
8470,Q1L857,Q1L857_HUMAN,unreviewed,"Ceruloplasmin (Fragment)",0,"Homo sapiens (Human)",5
9227,Q13370,PDE3B_HUMAN,reviewed,"cGMP-inhibited 3',5'-cyclic phosphodiesterase B (EC 3.1.4.17) (CGIPDE1) (CGIP1) (Cyclic GMP-inhibited phosphodiesterase B) (CGI-PDE B)",PDE3B,"Homo sapiens (Human)",5
8662,Q53HU0,Q53HU0_HUMAN,unreviewed,"Chaperonin containing TCP1, subunit 8 (Theta) variant (Fragment)",0,"Homo sapiens (Human)",5
8668,C9J0A7,C9J0A7_HUMAN,unreviewed,"Charged multivesicular body protein 2b",CHMP2B,"Homo sapiens (Human)",5
9120,O60921,HUS1_HUMAN,reviewed,"Checkpoint protein HUS1 (hHUS1)",HUS1,"Homo sapiens (Human)",5
9192,Q15782,CH3L2_HUMAN,reviewed,"Chitinase-3-like protein 2 (Chondrocyte protein 39) (YKL-39)",CHI3L2,"Homo sapiens (Human)",5
8600,B4DWC4,B4DWC4_HUMAN,unreviewed,"Chloride intracellular channel protein",0,"Homo sapiens (Human)",5
8477,Q8NCS7,CTL5_HUMAN,reviewed,"Choline transporter-like protein 5 (Solute carrier family 44 member 5)","SLC44A5 CTL5","Homo sapiens (Human)",5
9113,Q8IZ52,CHSS2_HUMAN,reviewed,"Chondroitin sulfate synthase 2 (EC 2.4.1.175) (EC 2.4.1.226) (Chondroitin glucuronyltransferase 2) (Chondroitin-polymerizing factor) (ChPF) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase II) (N-acetylgalactosaminyltransferase 2)","CHPF CSS2 UNQ651/PRO1281","Homo sapiens (Human)",5
8923,P0DML2,CSH1_HUMAN,reviewed,"Chorionic somatomammotropin hormone 1 (Choriomammotropin) (Lactogen) (Placental lactogen) (PL)",CSH1,"Homo sapiens (Human)",5
8478,O14647,CHD2_HUMAN,reviewed,"Chromodomain-helicase-DNA-binding protein 2 (CHD-2) (EC 3.6.4.12) (ATP-dependent helicase CHD2)",CHD2,"Homo sapiens (Human)",5
9174,A0A087WY55,A0A087WY55_HUMAN,unreviewed,"Chromosome 6 open reading frame 55, isoform CRA_b (Vacuolar protein sorting-associated protein VTA1 homolog)","VTA1 C6orf55 hCG_18120","Homo sapiens (Human)",5
8840,Q8WVB6,CTF18_HUMAN,reviewed,"Chromosome transmission fidelity protein 18 homolog (hCTF18) (CHL12)","CHTF18 C16orf41 CTF18","Homo sapiens (Human)",5
8672,P0CG12,CTF8A_HUMAN,reviewed,"Chromosome transmission fidelity protein 8 homolog isoform 2 (Decreased expression in renal and prostate cancer protein)","CHTF8 DERPC","Homo sapiens (Human)",5
8746,Q96DZ9,CKLF5_HUMAN,reviewed,"CKLF-like MARVEL transmembrane domain-containing protein 5 (Chemokine-like factor superfamily member 5)","CMTM5 CKLFSF5","Homo sapiens (Human)",5
9186,D6RIU2,D6RIU2_HUMAN,unreviewed,"Claudin domain-containing protein 1 (Fragment)",CLDND1,"Homo sapiens (Human)",5
9255,Q8N2M8,CLASR_HUMAN,reviewed,"CLK4-associating serine/arginine rich protein (Splicing factor, arginine/serine-rich 16) (Suppressor of white-apricot homolog 2)","CLASRP SFRS16 SWAP2 UNQ2428/PRO4988","Homo sapiens (Human)",5
8458,Q49AL0,Q49AL0_HUMAN,unreviewed,"CLTC protein",CLTC,"Homo sapiens (Human)",5
8973,Q92187,SIA8D_HUMAN,reviewed,"CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase (EC 2.4.99.-) (Alpha-2,8-sialyltransferase 8D) (Polysialyltransferase-1) (Sialyltransferase 8D) (SIAT8-D) (Sialyltransferase St8Sia IV) (ST8SiaIV)","ST8SIA4 PST PST1 SIAT8D","Homo sapiens (Human)",5
9036,M0QXB4,M0QXB4_HUMAN,unreviewed,"Coatomer protein complex, subunit epsilon, isoform CRA_g (Coatomer subunit epsilon)","COPE hCG_2001439","Homo sapiens (Human)",5
8911,Q8IUF1,CBWD2_HUMAN,reviewed,"COBW domain-containing protein 2 (Cobalamin synthase W domain-containing protein 2)",CBWD2,"Homo sapiens (Human)",5
8898,Q8IWY9,CDAN1_HUMAN,reviewed,Codanin-1,"CDAN1 UNQ664/PRO1295","Homo sapiens (Human)",5
9281,E9PS23,E9PS23_HUMAN,unreviewed,"Cofilin-1 (Fragment)",CFL1,"Homo sapiens (Human)",5
9063,Q5BJE1,CC178_HUMAN,reviewed,"Coiled-coil domain-containing protein 178","CCDC178 C18orf34","Homo sapiens (Human)",5
8870,Q6ZN84,CCD81_HUMAN,reviewed,"Coiled-coil domain-containing protein 81",CCDC81,"Homo sapiens (Human)",5
8874,Q7Z6B0,CCD91_HUMAN,reviewed,"Coiled-coil domain-containing protein 91 (GGA-binding partner) (p56 accessory protein)","CCDC91 GGABP HSD8","Homo sapiens (Human)",5
9104,Q9BW85,CCD94_HUMAN,reviewed,"Coiled-coil domain-containing protein 94",CCDC94,"Homo sapiens (Human)",5
9152,Q14050,CO9A3_HUMAN,reviewed,"Collagen alpha-3(IX) chain",COL9A3,"Homo sapiens (Human)",5
8770,P23508,CRCM_HUMAN,reviewed,"Colorectal mutant cancer protein (Protein MCC)",MCC,"Homo sapiens (Human)",5
9047,B4DPQ0,B4DPQ0_HUMAN,unreviewed,"Complement C1r subcomponent (cDNA FLJ54471, highly similar to Complement C1r subcomponent (EC 3.4.21.41))",C1R,"Homo sapiens (Human)",5
8631,Q6LDJ0,Q6LDJ0_HUMAN,unreviewed,"Complement component C3 (Fragment)",0,"Homo sapiens (Human)",5
8749,Q02985,FHR3_HUMAN,reviewed,"Complement factor H-related protein 3 (FHR-3) (DOWN16) (H factor-like protein 3)","CFHR3 CFHL3 FHR3","Homo sapiens (Human)",5
8514,Q8WXI2,CNKR2_HUMAN,reviewed,"Connector enhancer of kinase suppressor of ras 2 (Connector enhancer of KSR 2) (CNK homolog protein 2) (CNK2)","CNKSR2 CNK2 KIAA0902 KSR2","Homo sapiens (Human)",5
9097,D6RAX7,D6RAX7_HUMAN,unreviewed,"COP9 constitutive photomorphogenic-like protein subunit 4 isoform 2 (COP9 signalosome complex subunit 4)",COPS4,"Homo sapiens (Human)",5
8827,Q8WZ74,CTTB2_HUMAN,reviewed,"Cortactin-binding protein 2 (CortBP2)","CTTNBP2 C7orf8 CORTBP2 KIAA1758","Homo sapiens (Human)",5
8512,Q76LA1,Q76LA1_HUMAN,unreviewed,"CSTB protein (Cystatin B) (Cystatin B (Stefin B)) (Cystatin B (Stefin B), isoform CRA_a) (cDNA, FLJ92415, Homo sapiens cystatin B (stefin B) (CSTB), mRNA)","CSTB hCG_401291","Homo sapiens (Human)",5
8565,Q9P2B4,CT2NL_HUMAN,reviewed,"CTTNBP2 N-terminal-like protein","CTTNBP2NL KIAA1433","Homo sapiens (Human)",5
9138,Q99941,ATF6B_HUMAN,reviewed,"Cyclic AMP-dependent transcription factor ATF-6 beta (cAMP-dependent transcription factor ATF-6 beta) (Activating transcription factor 6 beta) (ATF6-beta) (Protein G13) (cAMP response element-binding protein-related protein) (Creb-rp) (cAMP-responsive element-binding protein-like 1) [Cleaved into: Processed cyclic AMP-dependent transcription factor ATF-6 beta]","ATF6B CREBL1 G13","Homo sapiens (Human)",5
8612,O94921,CDK14_HUMAN,reviewed,"Cyclin-dependent kinase 14 (EC 2.7.11.22) (Cell division protein kinase 14) (Serine/threonine-protein kinase PFTAIRE-1) (hPFTAIRE1)","CDK14 KIAA0834 PFTK1","Homo sapiens (Human)",5
8454,E9RH26,E9RH26_HUMAN,unreviewed,"Cystatin C (Fragment)",0,"Homo sapiens (Human)",5
9158,D6RFH4,D6RFH4_HUMAN,unreviewed,"Cytochrome b5 type B",CYB5B,"Homo sapiens (Human)",5
9206,J3KNF8,J3KNF8_HUMAN,unreviewed,"Cytochrome b5 type B (Cytochrome b5 type B (Outer mitochondrial membrane), isoform CRA_a)","CYB5B hCG_28205","Homo sapiens (Human)",5
8949,Q7KZN9,COX15_HUMAN,reviewed,"Cytochrome c oxidase assembly protein COX15 homolog",COX15,"Homo sapiens (Human)",5
8950,P15954,COX7C_HUMAN,reviewed,"Cytochrome c oxidase subunit 7C, mitochondrial (Cytochrome c oxidase polypeptide VIIc)",COX7C,"Homo sapiens (Human)",5
9101,P53701,CCHL_HUMAN,reviewed,"Cytochrome c-type heme lyase (CCHL) (EC 4.4.1.17) (Holocytochrome c-type synthase)","HCCS CCHL","Homo sapiens (Human)",5
8727,Q99418,CYH2_HUMAN,reviewed,"Cytohesin-2 (ARF exchange factor) (ARF nucleotide-binding site opener) (Protein ARNO) (PH, SEC7 and coiled-coil domain-containing protein 2)","CYTH2 ARNO PSCD2 PSCD2L","Homo sapiens (Human)",5
9102,O14576,DC1I1_HUMAN,reviewed,"Cytoplasmic dynein 1 intermediate chain 1 (Cytoplasmic dynein intermediate chain 1) (Dynein intermediate chain 1, cytosolic) (DH IC-1)","DYNC1I1 DNCI1 DNCIC1","Homo sapiens (Human)",5
9163,E7EVJ5,E7EVJ5_HUMAN,unreviewed,"Cytoplasmic FMR1-interacting protein 2",CYFIP2,"Homo sapiens (Human)",5
9223,P51813,BMX_HUMAN,reviewed,"Cytoplasmic tyrosine-protein kinase BMX (EC 2.7.10.2) (Bone marrow tyrosine kinase gene in chromosome X protein) (Epithelial and endothelial tyrosine kinase) (ETK) (NTK38)",BMX,"Homo sapiens (Human)",5
9283,H0Y9Q1,H0Y9Q1_HUMAN,unreviewed,"Cytosol aminopeptidase (Fragment)",LAP3,"Homo sapiens (Human)",5
8694,P0C869,PA24B_HUMAN,reviewed,"Cytosolic phospholipase A2 beta (cPLA2-beta) (EC 3.1.1.4) (Phospholipase A2 group IVB)",PLA2G4B,"Homo sapiens (Human)",5
9007,Q69YQ0,CYTSA_HUMAN,reviewed,"Cytospin-A (Renal carcinoma antigen NY-REN-22) (Sperm antigen with calponin homology and coiled-coil domains 1-like) (SPECC1-like protein)","SPECC1L CYTSA KIAA0376","Homo sapiens (Human)",5
8481,Q9NYF0,DACT1_HUMAN,reviewed,"Dapper homolog 1 (hDPR1) (Dapper antagonist of catenin 1) (Hepatocellular carcinoma novel gene 3 protein)","DACT1 DPR1 HNG3","Homo sapiens (Human)",5
8625,Q59GX6,Q59GX6_HUMAN,unreviewed,"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3 variant (Fragment)",0,"Homo sapiens (Human)",5
8889,Q9UER7,DAXX_HUMAN,reviewed,"Death domain-associated protein 6 (Daxx) (hDaxx) (ETS1-associated protein 1) (EAP1) (Fas death domain-associated protein)","DAXX BING2 DAP6","Homo sapiens (Human)",5
8683,A6NIW2,A6NIW2_HUMAN,unreviewed,"Dedicator of cytokinesis protein 11",DOCK11,"Homo sapiens (Human)",5
9231,Q9NYJ7,DLL3_HUMAN,reviewed,"Delta-like protein 3 (Drosophila Delta homolog 3) (Delta3)",DLL3,"Homo sapiens (Human)",5
9266,Q5QJE6,TDIF2_HUMAN,reviewed,"Deoxynucleotidyltransferase terminal-interacting protein 2 (Estrogen receptor-binding protein) (LPTS-interacting protein 2) (LPTS-RP2) (Terminal deoxynucleotidyltransferase-interacting factor 2) (TdIF2) (TdT-interacting factor 2)","DNTTIP2 ERBP TDIF2","Homo sapiens (Human)",5
9225,Q96QD5,DEPD7_HUMAN,reviewed,"DEP domain-containing protein 7 (Protein TR2/D15)",DEPDC7,"Homo sapiens (Human)",5
9067,A8MZF9,A8MZF9_HUMAN,unreviewed,"Developmentally-regulated GTP-binding protein 2",DRG2,"Homo sapiens (Human)",5
8970,P52824,DGKQ_HUMAN,reviewed,"Diacylglycerol kinase theta (DAG kinase theta) (EC 2.7.1.107) (Diglyceride kinase theta) (DGK-theta)","DGKQ DAGK4","Homo sapiens (Human)",5
8517,Q96F10,SAT2_HUMAN,reviewed,"Diamine acetyltransferase 2 (EC 2.3.1.57) (Polyamine N-acetyltransferase 2) (Spermidine/spermine N(1)-acetyltransferase 2) (Thialysine N-epsilon-acetyltransferase)","SAT2 SSAT2","Homo sapiens (Human)",5
8520,Q9H4B8,DPEP3_HUMAN,reviewed,"Dipeptidase 3 (EC 3.4.13.19)","DPEP3 UNQ834/PRO1772","Homo sapiens (Human)",5
9065,H0YCY8,H0YCY8_HUMAN,unreviewed,"Dipeptidyl peptidase 1 (Fragment)",CTSC,"Homo sapiens (Human)",5
8954,Q96G61,NUD11_HUMAN,reviewed,"Diphosphoinositol polyphosphate phosphohydrolase 3-beta (DIPP-3-beta) (DIPP3-beta) (hDIPP3beta) (EC 3.6.1.52) (Diadenosine 5',5'''-P1,P6-hexaphosphate hydrolase 3-beta) (Diadenosine hexaphosphate hydrolase (AMP-forming)) (EC 3.6.1.60) (Nucleoside diphosphate-linked moiety X motif 11) (Nudix motif 11) (hAps1)","NUDT11 APS1 DIPP3B","Homo sapiens (Human)",5
8650,Q8TDM6,DLG5_HUMAN,reviewed,"Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)","DLG5 KIAA0583 PDLG","Homo sapiens (Human)",5
9171,B1AHB1,B1AHB1_HUMAN,unreviewed,"DNA helicase (EC 3.6.4.12)","MCM5 hCG_41525","Homo sapiens (Human)",5
9159,H0Y8E6,H0Y8E6_HUMAN,unreviewed,"DNA helicase (EC 3.6.4.12) (Fragment)",MCM2,"Homo sapiens (Human)",5
9128,Q14181,DPOA2_HUMAN,reviewed,"DNA polymerase alpha subunit B (DNA polymerase alpha 70 kDa subunit)",POLA2,"Homo sapiens (Human)",5
9154,P05423,RPC4_HUMAN,reviewed,"DNA-directed RNA polymerase III subunit RPC4 (RNA polymerase III subunit C4) (DNA-directed RNA polymerase III subunit D) (Protein BN51) (RNA polymerase III 47 kDa subunit) (RPC53 homolog)","POLR3D BN51 BN51T","Homo sapiens (Human)",5
9136,Q9H1D9,RPC6_HUMAN,reviewed,"DNA-directed RNA polymerase III subunit RPC6 (RNA polymerase III subunit C6) (DNA-directed RNA polymerase III subunit F) (RNA polymerase III 39 kDa subunit) (RPC39)",POLR3F,"Homo sapiens (Human)",5
9191,H0Y368,H0Y368_HUMAN,unreviewed,"Dolichol-phosphate mannosyltransferase subunit 1 (Fragment)",DPM1,"Homo sapiens (Human)",5
8542,Q53G02,Q53G02_HUMAN,unreviewed,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (Oligosaccharyl transferase subunit DAD1) (Fragment)",0,"Homo sapiens (Human)",5
9213,Q9Y673,ALG5_HUMAN,reviewed,"Dolichyl-phosphate beta-glucosyltransferase (DolP-glucosyltransferase) (EC 2.4.1.117) (Asparagine-linked glycosylation protein 5 homolog)","ALG5 HSPC149","Homo sapiens (Human)",5
8490,Q4W4Y1,Q4W4Y1_HUMAN,unreviewed,"Dopamine receptor interacting protein 4",DRIP4,"Homo sapiens (Human)",5
8734,Q9UHG0,DCDC2_HUMAN,reviewed,"Doublecortin domain-containing protein 2 (Protein RU2S)","DCDC2 KIAA1154 RU2","Homo sapiens (Human)",5
8712,Q6XUX3,DUSTY_HUMAN,reviewed,"Dual serine/threonine and tyrosine protein kinase (EC 2.7.12.1) (Dusty protein kinase) (Dusty PK) (RIP-homologous kinase) (Receptor-interacting serine/threonine-protein kinase 5) (Sugen kinase 496) (SgK496)","DSTYK KIAA0472 RIP5 RIPK5 SGK496 HDCMD38P","Homo sapiens (Human)",5
8790,Q6AWB1,Q6AWB1_HUMAN,unreviewed,"Dynactin subunit 1 (Putative uncharacterized protein DKFZp686E0752)","DKFZp686E0752 DCTN1","Homo sapiens (Human)",5
8495,Q8WXX0,DYH7_HUMAN,reviewed,"Dynein heavy chain 7, axonemal (Axonemal beta dynein heavy chain 7) (Ciliary dynein heavy chain 7) (Dynein heavy chain-like protein 2) (hDHC2)","DNAH7 KIAA0944","Homo sapiens (Human)",5
8493,Q8TF09,DLRB2_HUMAN,reviewed,"Dynein light chain roadblock-type 2 (Dynein light chain 2B, cytoplasmic) (Roadblock domain-containing protein 2)","DYNLRB2 DNCL2B DNLC2B ROBLD2","Homo sapiens (Human)",5
9258,O00257,CBX4_HUMAN,reviewed,"E3 SUMO-protein ligase CBX4 (EC 2.3.2.-) (Chromobox protein homolog 4) (Polycomb 2 homolog) (Pc2) (hPc2)",CBX4,"Homo sapiens (Human)",5
9218,Q96MF7,NSE2_HUMAN,reviewed,"E3 SUMO-protein ligase NSE2 (EC 6.3.2.-) (MMS21 homolog) (hMMS21) (Non-structural maintenance of chromosomes element 2 homolog) (Non-SMC element 2 homolog)","NSMCE2 C8orf36 MMS21","Homo sapiens (Human)",5
8942,Q86XS8,GOLI_HUMAN,reviewed,"E3 ubiquitin-protein ligase RNF130 (EC 2.3.2.27) (Goliath homolog) (H-Goliath) (RING finger protein 130) (RING-type E3 ubiquitin transferase RNF130)",RNF130,"Homo sapiens (Human)",5
9109,Q86UK7,ZN598_HUMAN,reviewed,"E3 ubiquitin-protein ligase ZNF598 (EC 2.3.2.27) (Zinc finger protein 598)",ZNF598,"Homo sapiens (Human)",5
8503,Q05BV3,EMAL5_HUMAN,reviewed,"Echinoderm microtubule-associated protein-like 5 (EMAP-5)",EML5,"Homo sapiens (Human)",5
8808,Q5MY95,ENTP8_HUMAN,reviewed,"Ectonucleoside triphosphate diphosphohydrolase 8 (E-NTPDase 8) (NTPDase 8) (NTPDase8) (EC 3.6.1.5)","ENTPD8 UNQ2492/PRO5779","Homo sapiens (Human)",5
8711,Q6UWV6,ENPP7_HUMAN,reviewed,"Ectonucleotide pyrophosphatase/phosphodiesterase family member 7 (E-NPP 7) (NPP-7) (EC 3.1.4.12) (Alkaline sphingomyelin phosphodiesterase) (Intestinal alkaline sphingomyelinase) (Alk-SMase)","ENPP7 UNQ3077/PRO9912","Homo sapiens (Human)",5
8914,Q8WVE0,EFMT1_HUMAN,reviewed,"EEF1A lysine methyltransferase 1 (EC 2.1.1.-) (N(6)-adenine-specific DNA methyltransferase 2) (Protein-lysine N-methyltransferase N6AMT2)","EEF1AKMT1 N6AMT2","Homo sapiens (Human)",5
8728,Q9BSW2,EFC4B_HUMAN,reviewed,"EF-hand calcium-binding domain-containing protein 4B (Calcium release-activated calcium channel regulator 2A) (CRAC channel regulator 2A) (Calcium release-activated channel regulator 2A)","CRACR2A EFCAB4B","Homo sapiens (Human)",5
9116,Q9BXV9,GON7_HUMAN,reviewed,"EKC/KEOPS complex subunit GON7","GON7 C14orf142","Homo sapiens (Human)",5
9148,Q6PJG2,EMSA1_HUMAN,reviewed,"ELM2 and SANT domain-containing protein 1 (MIDEAS)","ELMSAN1 C14orf117 C14orf43","Homo sapiens (Human)",5
8619,Q53G85,Q53G85_HUMAN,unreviewed,"Elongation factor 1-alpha (Fragment)",0,"Homo sapiens (Human)",5
8647,Q96EB1,ELP4_HUMAN,reviewed,"Elongator complex protein 4 (hELP4) (PAX6 neighbor gene protein)","ELP4 C11orf19 PAXNEB","Homo sapiens (Human)",5
9170,Q5HY57,Q5HY57_HUMAN,unreviewed,"Emerin (Emerin (Emery-Dreifuss muscular dystrophy), isoform CRA_b)","EMD hCG_41343","Homo sapiens (Human)",5
9220,Q9YNA8,GAK19_HUMAN,reviewed,"Endogenous retrovirus group K member 19 Gag polyprotein (HERV-K(C19) Gag protein) (HERV-K_19q11 provirus ancestral Gag polyprotein) (Gag polyprotein)",ERVK-19,"Homo sapiens (Human)",5
9042,Q99963,SH3G3_HUMAN,reviewed,"Endophilin-A3 (EEN-B2) (Endophilin-3) (SH3 domain protein 2C) (SH3 domain-containing GRB2-like protein 3)","SH3GL3 CNSA3 SH3D2C","Homo sapiens (Human)",5
8860,P25101,EDNRA_HUMAN,reviewed,"Endothelin-1 receptor (Endothelin A receptor) (ET-A) (ETA-R) (hET-AR)","EDNRA ETA ETRA","Homo sapiens (Human)",5
8794,Q96F86,EDC3_HUMAN,reviewed,"Enhancer of mRNA-decapping protein 3 (LSM16 homolog) (YjeF N-terminal domain-containing protein 2) (YjeF_N2) (hYjeF_N2) (YjeF domain-containing protein 1)","EDC3 LSM16 YJDC YJEFN2 PP844","Homo sapiens (Human)",5
8666,B4DX66,EPS8_HUMAN,reviewed,"Epidermal growth factor receptor kinase substrate 8",EPS8,"Homo sapiens (Human)",5
9280,E9PN68,E9PN68_HUMAN,unreviewed,"Epidermal growth factor receptor kinase substrate 8-like protein 2 (Fragment)",EPS8L2,"Homo sapiens (Human)",5
8656,V9HW21,V9HW21_HUMAN,unreviewed,"Epididymis luminal protein 76",HEL-76,"Homo sapiens (Human)",5
8476,D9IAI1,D9IAI1_HUMAN,unreviewed,"Epididymis secretory protein Li 34 (Phosphatidylethanolamine binding protein 1, isoform CRA_a) (Phosphatidylethanolamine-binding protein 1)","PEBP1 HEL-S-34 hCG_2016249","Homo sapiens (Human)",5
8637,Q9NSU9,EPIPL_HUMAN,reviewed,"Epiplakin (450 kDa epidermal antigen)","EPPK1 EPIPL","Homo sapiens (Human)",5
8856,O15083,ERC2_HUMAN,reviewed,"ERC protein 2","ERC2 KIAA0378","Homo sapiens (Human)",5
8934,Q9H501,ESF1_HUMAN,reviewed,"ESF1 homolog (ABT1-associated protein)","ESF1 ABTAP C20orf6 HDCMC28P","Homo sapiens (Human)",5
9233,B1AK53,ESPN_HUMAN,reviewed,"Espin (Autosomal recessive deafness type 36 protein) (Ectoplasmic specialization protein)","ESPN DFNB36 LP2654","Homo sapiens (Human)",5
9035,J3KTN0,J3KTN0_HUMAN,unreviewed,"Eukaryotic initiation factor 4A-I (Fragment)",EIF4A1,"Homo sapiens (Human)",5
9068,B7Z7P8,B7Z7P8_HUMAN,unreviewed,"Eukaryotic peptide chain release factor subunit 1 (cDNA FLJ56175, highly similar to Eukaryotic peptide chain release factor subunit1)",ETF1,"Homo sapiens (Human)",5
9040,H0YJS4,H0YJS4_HUMAN,unreviewed,"Eukaryotic translation initiation factor 2 subunit 1 (Fragment)",EIF2S1,"Homo sapiens (Human)",5
8579,A8K2Y2,IF2G_HUMAN,reviewed,"Eukaryotic translation initiation factor 2 subunit 3 (Eukaryotic translation initiation factor 2 subunit gamma X) (eIF-2-gamma X) (eIF-2gX)","EIF2S3 EIF2G","Homo sapiens (Human)",5
9025,H3BRV0,EIF3C_HUMAN,reviewed,"Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110)","EIF3C EIF3S8","Homo sapiens (Human)",5
9095,K7EL20,K7EL20_HUMAN,unreviewed,"Eukaryotic translation initiation factor 3 subunit G (Fragment)",EIF3G,"Homo sapiens (Human)",5
9105,H0Y3P2,H0Y3P2_HUMAN,unreviewed,"Eukaryotic translation initiation factor 4 gamma 2",EIF4G2,"Homo sapiens (Human)",5
8885,Q9NRA8,4ET_HUMAN,reviewed,"Eukaryotic translation initiation factor 4E transporter (4E-T) (eIF4E transporter) (Eukaryotic translation initiation factor 4E nuclear import factor 1)",EIF4ENIF1,"Homo sapiens (Human)",5
8969,P43004,EAA2_HUMAN,reviewed,"Excitatory amino acid transporter 2 (Glutamate/aspartate transporter II) (Sodium-dependent glutamate/aspartate transporter 2) (Solute carrier family 1 member 2)","SLC1A2 EAAT2 GLT1","Homo sapiens (Human)",5
